time;v;t;i;SOC;bal;chg
07:32:03;50,19;30,0;0;97;0;0
07:32:04;50,19;30,0;0;97;0;0
07:32:06;50,19;30,0;0;97;0;0
07:32:07;50,19;30,0;0;97;0;0
07:32:08;50,13;30,0;0;97;0;0
07:32:09;50,19;30,0;0;97;0;0
07:32:11;50,19;30,0;0;97;0;0
07:32:12;50,19;30,0;0;97;0;0
07:32:13;50,13;30,0;0;97;0;0
07:32:14;50,19;30,0;0;97;0;0
07:32:27;50,19;30,0;0;97;0;0
07:32:28;50,19;30,0;0;97;0;0
07:32:29;50,19;30,0;0;97;0;0
07:32:30;50,19;30,0;0;97;0;0
07:32:32;50,13;30,0;0;97;0;0
07:32:33;50,13;30,0;0;97;0;0
07:32:34;50,19;30,0;0;97;0;0
07:32:35;50,19;30,0;0;97;0;0
07:32:37;50,19;30,0;0;97;0;0
07:32:39;50,19;30,0;0;97;0;0
07:32:40;50,19;30,0;0;97;0;0
07:32:42;50,19;30,0;0;97;0;0
07:32:44;50,19;30,0;0;97;0;0
07:32:46;50,19;30,0;0;97;0;0
07:32:47;50,19;30,0;0;97;0;0
07:32:57;50,19;30,0;0;97;0;0
07:32:58;50,19;30,0;0;97;0;0
07:33:04;50,19;30,0;0;97;0;0
07:33:05;50,19;30,0;0;97;0;0
07:33:06;50,19;30,0;0;97;0;0
07:33:21;50,19;30,0;0;97;0;0
07:33:22;50,19;30,0;0;97;0;0
07:33:24;50,19;30,0;0;97;0;0
07:33:25;50,19;30,0;0;97;0;0
07:33:32;50,19;30,0;0;97;0;0
07:33:33;50,19;30,0;0;97;0;0
07:33:39;50,19;30,0;0;97;0;0
07:33:40;50,19;30,0;0;97;0;0
07:33:41;50,19;30,0;0;97;0;0
07:33:42;50,13;30,0;0;97;0;0
07:33:43;50,13;30,0;0;97;0;0
07:33:44;50,19;30,0;0;97;0;0
07:33:45;50,19;30,0;0;97;0;0
07:33:51;50,19;30,0;0;97;0;0
07:33:52;50,19;30,0;0;97;0;0
07:34:02;50,13;30,0;0;97;0;0
07:34:03;50,19;30,0;0;97;0;0
07:34:04;50,19;30,0;0;97;0;0
07:34:06;50,19;30,0;0;97;0;0
07:34:08;50,19;30,0;0;97;0;0
07:34:09;50,19;30,0;0;97;0;0
07:34:12;50,19;30,0;0;97;0;0
07:34:13;50,19;30,0;0;97;0;0
07:34:14;50,19;30,0;0;97;0;0
07:34:16;50,19;30,0;0;97;0;0
07:34:20;50,13;30,0;0;97;0;0
07:34:23;50,13;30,0;0;97;0;0
07:34:24;50,13;30,0;0;97;0;0
07:34:25;50,19;30,0;0;97;0;0
07:34:30;50,13;30,0;0;97;0;0
07:34:33;50,13;30,0;0;97;0;0
07:34:34;50,19;30,0;0;97;0;0
07:34:35;50,19;30,0;0;97;0;0
07:34:36;50,13;30,0;0;97;0;0
07:34:37;50,13;30,0;0;97;0;0
07:34:40;50,19;30,0;0;97;0;0
07:34:42;50,13;30,0;0;97;0;0
07:34:43;50,13;30,0;0;97;0;0
07:34:46;50,19;30,0;0;97;0;0
07:34:47;50,19;30,0;0;97;0;0
07:34:48;50,13;30,0;0;97;0;0
07:34:49;50,19;30,0;0;97;0;0
07:34:51;50,13;30,0;0;97;0;0
07:34:55;50,19;30,0;0;97;0;0
07:34:56;50,13;30,0;0;97;0;0
07:34:57;50,19;30,0;0;97;0;0
07:35:02;50,13;30,0;0;97;0;0
07:35:13;50,13;30,0;0;97;0;0
07:35:14;50,13;30,0;0;97;0;0
07:35:16;50,13;30,0;0;97;0;0
07:35:17;50,13;30,0;0;97;0;0
07:35:18;50,19;30,0;0;97;0;0
07:35:23;50,13;30,0;0;97;0;0
07:35:25;50,19;30,0;0;97;0;0
07:35:26;50,19;30,0;0;97;0;0
07:35:27;50,19;30,0;0;97;0;0
07:35:28;50,13;30,0;0;97;0;0
07:35:29;50,13;30,0;0;97;0;0
07:35:31;50,19;30,0;0;97;0;0
07:35:32;50,13;30,0;0;97;0;0
07:35:33;50,13;30,0;0;97;0;0
07:35:34;50,13;30,0;0;97;0;0
07:35:35;50,13;30,0;0;97;0;0
07:35:37;50,13;30,0;0;97;0;0
07:35:38;50,13;30,0;0;97;0;0
07:35:40;50,13;30,0;0;97;0;0
07:35:41;50,19;30,0;0;97;0;0
07:35:42;50,19;30,0;0;97;0;0
07:35:43;50,13;30,0;0;97;0;0
07:35:48;50,13;30,0;0;97;0;0
07:35:49;50,13;30,0;0;97;0;0
07:35:51;50,19;30,0;0;97;0;0
07:35:52;50,13;30,0;0;97;0;0
07:35:55;50,13;30,0;0;97;0;0
07:35:56;50,13;30,0;0;97;0;0
07:35:57;50,13;30,0;0;97;0;0
07:35:59;50,13;30,0;0;97;0;0
07:36:00;50,19;30,0;0;97;0;0
07:36:01;50,13;30,0;0;97;0;0
07:36:02;50,13;30,0;0;97;0;0
07:36:03;50,13;30,0;0;97;0;0
07:36:05;50,13;30,0;0;97;0;0
07:36:06;50,13;30,0;0;97;0;0
07:36:07;50,13;30,0;0;97;0;0
07:36:09;50,13;30,0;0;97;0;0
07:36:10;50,13;30,0;0;97;0;0
07:36:14;50,13;30,0;0;97;0;0
07:36:18;50,13;30,0;0;97;0;0
07:36:20;50,19;30,0;0;97;0;0
07:36:21;50,13;30,0;0;97;0;0
07:36:29;50,19;30,0;0;97;0;0
07:36:30;50,13;30,0;0;97;0;0
07:36:31;50,13;30,0;0;97;0;0
07:36:32;50,13;30,0;0;97;0;0
07:36:33;50,13;30,0;0;97;0;0
07:36:34;50,13;30,0;0;97;0;0
07:36:35;50,13;30,0;0;97;0;0
07:36:36;50,13;30,0;0;97;0;0
07:36:37;50,13;30,0;0;97;0;0
07:36:38;50,13;30,0;0;97;0;0
07:36:41;50,13;30,0;0;97;0;0
07:36:42;50,13;30,0;0;97;0;0
07:36:44;50,13;30,0;0;97;0;0
07:36:45;50,13;30,0;0;97;0;0
07:36:48;50,13;30,0;0;97;0;0
07:36:49;50,13;30,0;0;97;0;0
07:36:50;50,13;30,0;0;97;0;0
07:36:51;50,13;30,0;0;97;0;0
07:36:52;50,13;30,0;0;97;0;0
07:36:54;50,13;30,0;0;97;0;0
07:36:55;50,13;30,0;0;97;0;0
07:37:02;50,13;30,0;0;97;0;0
07:37:04;50,13;30,0;0;97;0;0
07:37:07;50,13;30,0;0;97;0;0
07:37:08;50,13;30,0;0;97;0;0
07:37:09;50,13;30,0;0;97;0;0
07:37:11;50,13;30,0;0;97;0;0
07:37:12;50,13;30,0;0;97;0;0
07:37:13;50,13;30,0;0;97;0;0
07:37:14;50,06;30,0;-23,0;97;0;0
